,tempo,valence
799,113.0,0.26
800,98.0,0.6
801,179.0,0.31
802,146.0,0.37
803,116.0,0.62
804,83.0,0.72
805,111.0,0.96
806,67.0,0.47
807,90.0,0.57
808,167.0,0.57
809,201.0,0.48
810,103.0,0.41
811,100.0,0.04
812,140.0,0.09
813,100.0,0.04
814,130.0,0.19
815,110.0,0.48
816,124.0,0.84
817,142.0,0.06
818,146.0,0.65
819,153.0,0.81
820,124.0,0.43
821,132.0,0.52
822,119.0,0.94
823,97.0,0.87
824,79.0,0.29
825,113.0,0.36
826,200.0,0.42
827,94.0,0.67
828,166.0,0.24
829,130.0,0.92
830,94.0,0.54
831,117.0,0.68
832,141.0,0.16
833,125.0,0.67
834,92.0,0.9
835,116.0,0.51
836,150.0,0.28
837,122.0,0.3
838,128.0,0.97
839,150.0,0.77
840,106.0,0.09
841,127.0,0.81
842,141.0,0.7
843,95.0,0.59
844,115.0,0.82
845,118.0,0.21
846,118.0,0.54
847,121.0,0.72
848,121.0,0.82
849,127.0,0.86
850,123.0,0.83
851,108.0,0.74
852,124.0,0.48
853,81.0,0.6
854,80.0,0.22
855,125.0,0.78
856,130.0,0.8
857,145.0,0.38
858,113.0,0.05
859,144.0,0.86
860,91.0,0.96
861,102.0,0.93
862,117.0,0.8
863,122.0,0.83
864,116.0,0.33
865,95.0,0.69
866,184.0,0.36
867,141.0,0.42
868,122.0,0.39
869,124.0,0.61
870,114.0,0.89
871,134.0,0.05
872,113.0,0.95
873,138.0,0.63
874,138.0,0.13
875,121.0,0.71
876,130.0,0.56
877,148.0,0.35
878,108.0,0.49
879,127.0,0.64
880,124.0,0.68
881,136.0,0.55
882,105.0,0.23
883,115.0,0.72
884,114.0,0.74
885,122.0,0.7
886,82.0,0.26
887,118.0,0.85
888,90.0,0.89
889,103.0,0.31
890,115.0,0.2
891,132.0,0.66
892,125.0,0.63
893,124.0,0.65
894,124.0,0.61
895,102.0,0.64
896,122.0,0.69
897,128.0,0.49
898,124.0,0.23
899,123.0,0.81
900,143.0,0.7
901,120.0,0.58
902,80.0,0.72
903,118.0,0.45
904,139.0,0.79
905,126.0,0.91
906,122.0,0.68
907,117.0,0.96
908,95.0,0.9
909,125.0,0.72
910,110.0,0.87
911,99.0,0.68
912,111.0,0.98
913,119.0,0.86
914,146.0,0.82
915,128.0,0.54
916,100.0,0.84
917,100.0,0.39
918,97.0,0.57
919,95.0,0.48
920,103.0,0.7
921,185.0,0.34
922,102.0,0.1
923,118.0,0.47
924,124.0,0.62
925,155.0,0.3
926,112.0,0.41
927,80.0,0.22
928,108.0,0.92
929,126.0,0.58
930,146.0,0.18
931,116.0,0.36
932,140.0,0.68
933,110.0,0.56
934,101.0,0.61
935,100.0,0.43
936,192.0,0.23
937,127.0,0.2
938,104.0,0.12
939,120.0,0.29
940,124.0,0.05
941,125.0,0.62
942,186.0,0.37
943,125.0,0.47
944,120.0,0.14
945,108.0,0.64
946,129.0,0.88
947,135.0,0.6
948,125.0,0.55
949,122.0,0.2
950,143.0,0.33
951,105.0,0.19
952,121.0,0.78
953,80.0,0.87
954,150.0,0.9
955,106.0,0.31
956,111.0,0.56
957,99.0,0.26
958,130.0,0.28
959,104.0,0.47
960,114.0,0.58
961,112.0,0.74
962,93.0,0.84
963,136.0,0.81
964,132.0,0.13
965,116.0,0.86
966,130.0,0.06
967,132.0,0.43
968,130.0,0.29
969,135.0,0.77
970,170.0,0.18
971,94.0,0.57
972,100.0,0.35
973,92.0,0.33
974,80.0,0.32
975,121.0,0.44
976,105.0,0.11
977,135.0,0.33
978,170.0,0.54
979,100.0,0.54
980,120.0,0.26
981,142.0,0.4
982,157.0,0.1
983,92.0,0.36
984,115.0,0.68
985,125.0,0.78
986,104.0,0.46
987,115.0,0.78
